* YY  MM DD HR MIN     Sec          dNorth      +-            dEast        +-          dHeight      +-        RMS    #      Atm     +-         Fract DOY     Epoch  #BF NotF  Rho_UA
*                                    (m)        (m)            (m)        (m)         (m)           (m)      (mm)   DD      (mm)    (mm)
 2021  7 23 16 48  29.999999        81.7018    0.0113          3.6361    0.0117         -1.0954    0.0375    22.82   8     47.46     4.20   204.70034722221     38  44   8 S -0.293
 2021  7 23 16 49   0.000000        81.7019    0.0113          3.6321    0.0117         -1.1072    0.0377    24.59   8     47.33     4.16   204.70069444445     39  44   8 S -0.290
 2021  7 23 16 49  29.999999        81.7002    0.0113          3.6342    0.0117         -1.1148    0.0379    25.10   8     47.21     4.13   204.70104166666     40  44   8 S -0.287
 2021  7 23 16 50   0.000000        81.6998    0.0113          3.6336    0.0117         -1.1120    0.0381    23.17   8     47.09     4.10   204.70138888889     41  44   8 S -0.283
 2021  7 23 16 50  30.000000        81.7010    0.0113          3.6327    0.0117         -1.1276    0.0382    22.09   8     46.98     4.06   204.70173611111     42  43   8 S -0.279
 2021  7 23 16 51   0.000000        81.7002    0.0113          3.6347    0.0117         -1.1168    0.0384    23.85   8     46.87     4.02   204.70208333334     43  44   8 S -0.276
 2021  7 23 16 51  30.000000        81.7035    0.0112          3.6340    0.0117         -1.1187    0.0386    21.52   8     46.78     3.98   204.70243055555     44  44   8 S -0.272
 2021  7 23 16 52   0.000001        81.7033    0.0112          3.6332    0.0117         -1.1046    0.0388    17.04   8     46.69     3.94   204.70277777778     45  44   8 S -0.268
 2021  7 23 16 52  30.000000        81.7053    0.0112          3.6363    0.0117         -1.1124    0.0389    18.70   8     46.59     3.89   204.70312500000     46  44   8 S -0.264
 2021  7 23 16 53   0.000001        81.7106    0.0112          3.6385    0.0116         -1.0958    0.0391    16.78   8     46.49     3.84   204.70347222223     47  44   8 S -0.259
 2021  7 23 16 53  29.999999        81.7123    0.0112          3.6380    0.0116         -1.0802    0.0393    17.43   8     46.38     3.79   204.70381944443     48  44   8 S -0.255
 2021  7 23 16 54   0.000000        81.7120    0.0112          3.6403    0.0116         -1.0818    0.0392    16.33   8     46.27     3.73   204.70416666667     49  47  10 S -0.256
 2021  7 23 16 54  29.999999        81.7059    0.0112          3.6355    0.0111         -1.0905    0.0371    23.74   9     46.14     3.67   204.70451388888     50  48  10 S -0.340
 2021  7 23 16 55   0.000000        81.7081    0.0112          3.6354    0.0111         -1.0951    0.0372    23.01   9     45.99     3.62   204.70486111111     51  48  10 S -0.335
 2021  7 23 16 55  29.999999        81.7136    0.0112          3.6364    0.0110         -1.0799    0.0373    23.99   9     45.82     3.57   204.70520833333     52  48  10 S -0.330
 2021  7 23 16 56   0.000000        81.7091    0.0112          3.6344    0.0110         -1.0847    0.0374    19.28   9     45.64     3.53   204.70555555556     53  48  10 S -0.326
 2021  7 23 16 56  30.000000        81.7109    0.0111          3.6360    0.0110         -1.0911    0.0375    20.44   9     45.42     3.49   204.70590277777     54  48  10 S -0.322
 2021  7 23 16 57   0.000000        81.7090    0.0111          3.6345    0.0110         -1.0951    0.0376    22.35   9     45.15     3.46   204.70625000000     55  48  10 S -0.319
 2021  7 23 16 57  30.000000        81.7069    0.0111          3.6335    0.0110         -1.0894    0.0377    22.56   9     44.88     3.43   204.70659722222     56  48  10 S -0.316
 2021  7 23 16 58   0.000000        81.7098    0.0111          3.6386    0.0110         -1.0994    0.0378    19.47   9     44.58     3.40   204.70694444445     57  48  10 S -0.313
 2021  7 23 16 58  30.000000        81.7068    0.0111          3.6389    0.0110         -1.1193    0.0379    22.22   9     44.26     3.37   204.70729166667     58  48  10 S -0.311
 2021  7 23 16 59   0.000001        81.7083    0.0111          3.6402    0.0109         -1.1035    0.0380    19.08   9     43.93     3.35   204.70763888890     59  48  10 S -0.308
 2021  7 23 16 59  29.999999        81.7072    0.0111          3.6412    0.0109         -1.1015    0.0381    21.40   9     43.57     3.32   204.70798611110     60  48  10 S -0.306
 2021  7 23 17  0   0.000000        81.7074    0.0111          3.6357    0.0115         -1.1226    0.0414    16.83   8     43.21     3.30   204.70833333334     61  47  10 S -0.221
 2021  7 23 17  0  29.999999        81.7075    0.0111          3.6400    0.0109         -1.1203    0.0382    19.40   9     42.86     3.27   204.70868055554     62  51  10 S -0.305
 2021  7 23 17  1   0.000000        81.7080    0.0109          3.6404    0.0107         -1.1230    0.0369    27.16  10     42.49     3.25   204.70902777778     63  52  10 S -0.357
 2021  7 23 17  1  29.999999        81.7106    0.0110          3.6407    0.0108         -1.1249    0.0375    26.24  10     42.13     3.22   204.70937499999     64  52  10 S -0.338
 2021  7 23 17  2   0.000000        81.7098    0.0109          3.6377    0.0107         -1.1197    0.0370    27.99  10     41.81     3.21   204.70972222222     65  52  10 S -0.352
 2021  7 23 17  2  29.999999        81.7122    0.0109          3.6385    0.0107         -1.1227    0.0371    30.43  10     41.53     3.19   204.71006944444     66  53  10 S -0.350
 2021  7 23 17  3   0.000000        81.7115    0.0109          3.6411    0.0107         -1.1118    0.0371    24.54  10     41.31     3.19   204.71041666667     67  53  10 S -0.349
 2021  7 23 17  3  30.000000        81.7077    0.0109          3.6386    0.0107         -1.1059    0.0372    21.72  10     41.10     3.18   204.71076388888     68  53  10 S -0.348
 2021  7 23 17  4   0.000000        81.7109    0.0109          3.6419    0.0106         -1.1067    0.0373    25.72  10     40.90     3.18   204.71111111112     69  53  10 S -0.347
 2021  7 23 17  4  30.000000        81.7081    0.0109          3.6410    0.0106         -1.1120    0.0373    20.58  10     40.72     3.18   204.71145833333     70  53  10 S -0.347
 2021  7 23 17  5   0.000001        81.7066    0.0109          3.6406    0.0106         -1.1125    0.0374    21.72  10     40.56     3.18   204.71180555556     71  53  10 S -0.347
 2021  7 23 17  5  30.000000        81.7076    0.0109          3.6387    0.0106         -1.1073    0.0375    21.72  10     40.40     3.19   204.71215277778     72  53  10 S -0.347
 2021  7 23 17  6   0.000001        81.7112    0.0109          3.6374    0.0106         -1.0981    0.0376    19.43  10     40.22     3.20   204.71250000001     73  53  10 S -0.347
 2021  7 23 17  6  29.999999        81.7091    0.0109          3.6341    0.0106         -1.1021    0.0377    20.11  10     40.03     3.21   204.71284722221     74  53  10 S -0.347
 2021  7 23 17  7   0.000000        81.7079    0.0109          3.6379    0.0106         -1.1087    0.0377    18.96  10     39.85     3.22   204.71319444445     75  54  10 S -0.348
 2021  7 23 17  7  29.999999        81.7098    0.0109          3.6364    0.0106         -1.0995    0.0378    17.83  10     39.70     3.23   204.71354166666     76  54  10 S -0.348
 2021  7 23 17  8   0.000000        81.7107    0.0109          3.6362    0.0106         -1.0893    0.0379    13.76  10     39.55     3.24   204.71388888889     77  54  10 S -0.349
 2021  7 23 17  8  29.999999        81.7131    0.0109          3.6352    0.0105         -1.0886    0.0380    14.64  10     39.39     3.25   204.71423611110     78  54  10 S -0.349
 2021  7 23 17  9   0.000000        81.7064    0.0109          3.6352    0.0105         -1.1038    0.0380    14.38  10     39.21     3.27   204.71458333333     79  54  10 S -0.350
 2021  7 23 17  9  30.000000        81.7094    0.0109          3.6402    0.0105         -1.0837    0.0381    15.50  10     39.04     3.28   204.71493055555     80  54  10 S -0.350
 2021  7 23 17 10   0.000000        81.7138    0.0109          3.6347    0.0105         -1.0947    0.0382    15.74  10     38.88     3.30   204.71527777778     81  54  10 S -0.351
 2021  7 23 17 10  30.000000        81.7112    0.0109          3.6358    0.0105         -1.0992    0.0382    15.44  10     38.76     3.31   204.71562500000     82  54  10 S -0.352
 2021  7 23 17 11   0.000000        81.7094    0.0109          3.6364    0.0105         -1.0969    0.0383    17.07  10     38.65     3.33   204.71597222223     83  54  10 S -0.352
 2021  7 23 17 11  30.000000        81.7086    0.0109          3.6327    0.0105         -1.1087    0.0383    17.61  10     38.56     3.34   204.71631944444     84  54  10 S -0.353
 2021  7 23 17 12   0.000001        81.7116    0.0109          3.6368    0.0105         -1.0873    0.0384    15.50  10     38.47     3.36   204.71666666667     85  54  10 S -0.353
 2021  7 23 17 12  29.999999        81.7097    0.0109          3.6377    0.0105         -1.1006    0.0385    14.76  10     38.39     3.37   204.71701388888     86  54  10 S -0.354
 2021  7 23 17 13   0.000000        81.7087    0.0109          3.6340    0.0105         -1.1016    0.0385    16.26  10     38.32     3.39   204.71736111112     87  54  10 S -0.355
 2021  7 23 17 13  29.999999        81.7102    0.0109          3.6339    0.0105         -1.0928    0.0386    16.80  10     38.25     3.40   204.71770833332     88  54  10 S -0.355
 2021  7 23 17 14   0.000000        81.7048    0.0109          3.6352    0.0105         -1.1106    0.0386    14.97  10     38.19     3.42   204.71805555556     89  54  10 S -0.356
 2021  7 23 17 14  29.999999        81.7051    0.0109          3.6384    0.0105         -1.1128    0.0386    15.68  10     38.14     3.44   204.71840277777     90  54  10 S -0.356
 2021  7 23 17 15   0.000000        81.7081    0.0109          3.6378    0.0104         -1.1179    0.0387    15.57  10     38.11     3.45   204.71875000000     91  54  10 S -0.357
 2021  7 23 17 15  29.999999        81.7058    0.0109          3.6368    0.0104         -1.1127    0.0387    14.74  10     38.11     3.47   204.71909722222     92  54  10 S -0.357
 2021  7 23 17 16   0.000000        81.7045    0.0109          3.6349    0.0104         -1.1055    0.0387    16.45  10     38.14     3.48   204.71944444445     93  54  10 S -0.358
 2021  7 23 17 16  30.000000        81.7087    0.0109          3.6406    0.0104         -1.1062    0.0388    16.85  10     38.21     3.49   204.71979166666     94  54  10 S -0.358
 2021  7 23 17 17   0.000000        81.7091    0.0109          3.6400    0.0104         -1.1010    0.0388    16.74  10     38.30     3.51   204.72013888889     95  54  10 S -0.358
 2021  7 23 17 17  30.000000        81.7063    0.0109          3.6424    0.0104         -1.1179    0.0388    15.72  10     38.42     3.52   204.72048611111     96  54  10 S -0.359
 2021  7 23 17 18   0.000001        81.7064    0.0109          3.6426    0.0104         -1.1113    0.0388    14.61  10     38.57     3.54   204.72083333334     97  54  10 S -0.359
 2021  7 23 17 18  30.000000        81.7064    0.0109          3.6410    0.0104         -1.1150    0.0388    14.00  10     38.72     3.55   204.72118055556     98  54  10 S -0.359
 2021  7 23 17 19   0.000000        81.7122    0.0109          3.6420    0.0104         -1.1045    0.0388    13.73  10     38.90     3.56   204.72152777778     99  54  10 S -0.359
 2021  7 23 17 19  29.999999        81.7071    0.0109          3.6413    0.0104         -1.1168    0.0388    12.95  10     39.11     3.57   204.72187499999    100  54  10 S -0.359
 2021  7 23 17 20   0.000000        81.7112    0.0109          3.6371    0.0104         -1.1025    0.0388    11.84  10     39.33     3.58   204.72222222223    101  54  10 S -0.360
 2021  7 23 17 20  29.999999        81.7090    0.0109          3.6381    0.0104         -1.1192    0.0388    12.96  10     39.57     3.59   204.72256944444    102  54  10 S -0.360
 2021  7 23 17 21   0.000000        81.7116    0.0109          3.6416    0.0104         -1.0989    0.0388    11.38  10     39.85     3.61   204.72291666667    103  54  10 S -0.360
 2021  7 23 17 21  29.999999        81.7098    0.0109          3.6388    0.0104         -1.0833    0.0388    11.10  10     40.13     3.62   204.72326388888    104  54  10 S -0.360
 2021  7 23 17 22   0.000000        81.7134    0.0109          3.6384    0.0104         -1.0769    0.0387    10.93  10     40.40     3.63   204.72361111111    105  54  10 S -0.360
 2021  7 23 17 22  30.000000        81.7099    0.0109          3.6401    0.0104         -1.0917    0.0387    10.30  10     40.64     3.63   204.72395833333    106  54  10 S -0.360
 2021  7 23 17 23   0.000000        81.7079    0.0110          3.6352    0.0104         -1.1062    0.0387     9.62  10     40.84     3.64   204.72430555556    107  54  10 S -0.360
 2021  7 23 17 23  30.000000        81.7088    0.0110          3.6375    0.0104         -1.1014    0.0386     9.60  10     41.00     3.65   204.72465277778    108  54  10 S -0.359
 2021  7 23 17 24   0.000001        81.7084    0.0110          3.6344    0.0104         -1.0994    0.0386    12.24  10     41.14     3.66   204.72500000001    109  54  10 S -0.359
 2021  7 23 17 24  30.000000        81.7105    0.0110          3.6366    0.0104         -1.0832    0.0386    10.93  10     41.27     3.67   204.72534722222    110  54  10 S -0.359
 2021  7 23 17 25   0.000001        81.7095    0.0110          3.6360    0.0104         -1.0895    0.0385    10.52  10     41.39     3.67   204.72569444445    111  54  10 S -0.359
 2021  7 23 17 25  29.999999        81.7119    0.0110          3.6337    0.0104         -1.0893    0.0384    13.66  10     41.50     3.68   204.72604166665    112  54  10 S -0.359
 2021  7 23 17 26   0.000000        81.7131    0.0110          3.6363    0.0104         -1.0831    0.0384    13.69  10     41.60     3.69   204.72638888889    113  54  10 S -0.359
 2021  7 23 17 26  29.999999        81.7143    0.0110          3.6333    0.0104         -1.0778    0.0383    14.75  10     41.69     3.69   204.72673611110    114  54  10 S -0.358
 2021  7 23 17 27   0.000000        81.7123    0.0110          3.6356    0.0104         -1.0768    0.0383    13.27  10     41.79     3.70   204.72708333334    115  54  10 S -0.358
 2021  7 23 17 27  29.999999        81.7140    0.0110          3.6407    0.0104         -1.0817    0.0382    13.27  10     41.88     3.70   204.72743055555    116  54  10 S -0.358
 2021  7 23 17 28   0.000000        81.7121    0.0110          3.6388    0.0104         -1.0874    0.0381    15.73  10     41.97     3.70   204.72777777778    117  54  10 S -0.358
 2021  7 23 17 28  29.999999        81.7112    0.0110          3.6381    0.0104         -1.1056    0.0380    17.21  10     42.06     3.71   204.72812499999    118  54  10 S -0.357
 2021  7 23 17 29   0.000000        81.7113    0.0111          3.6391    0.0104         -1.0903    0.0380    14.61  10     42.17     3.71   204.72847222222    119  54  10 S -0.357
 2021  7 23 17 29  30.000000        81.7090    0.0111          3.6394    0.0104         -1.0915    0.0379    13.20  10     42.29     3.71   204.72881944444    120  54  10 S -0.357
 2021  7 23 17 30   0.000000        81.7087    0.0111          3.6384    0.0104         -1.0861    0.0378    12.22  10     42.41     3.72   204.72916666667    121  54  10 S -0.356
 2021  7 23 17 30  30.000000        81.7078    0.0111          3.6377    0.0104         -1.0905    0.0377    13.98  10     42.52     3.72   204.72951388889    122  54  10 S -0.356
 2021  7 23 17 31   0.000001        81.7084    0.0111          3.6343    0.0104         -1.1063    0.0376    16.32  10     42.64     3.72   204.72986111112    123  54  10 S -0.356
 2021  7 23 17 31  30.000000        81.7095    0.0111          3.6385    0.0104         -1.0978    0.0375    14.62  10     42.77     3.72   204.73020833333    124  54  10 S -0.355
 2021  7 23 17 32   0.000000        81.7139    0.0111          3.6403    0.0104         -1.0905    0.0374    17.34  10     42.90     3.72   204.73055555556    125  54  10 S -0.355
 2021  7 23 17 32  29.999999        81.7098    0.0111          3.6392    0.0104         -1.0971    0.0373    15.79  10     43.03     3.72   204.73090277777    126  54  10 S -0.355
 2021  7 23 17 33   0.000000        81.7154    0.0112          3.6404    0.0104         -1.0943    0.0372    16.56  10     43.15     3.72   204.73125000000    127  54  10 S -0.354
 2021  7 23 17 33  29.999999        81.7126    0.0112          3.6398    0.0104         -1.0984    0.0371    16.97  10     43.26     3.72   204.73159722221    128  54  10 S -0.354
 2021  7 23 17 34   0.000000        81.7118    0.0112          3.6411    0.0104         -1.1084    0.0370    17.27  10     43.36     3.72   204.73194444445    129  54  10 S -0.354
 2021  7 23 17 34  29.999999        81.7073    0.0112          3.6418    0.0104         -1.1021    0.0369    16.89  10     43.48     3.72   204.73229166666    130  54  10 S -0.353
 2021  7 23 17 35   0.000000        81.7102    0.0112          3.6394    0.0104         -1.0883    0.0367    18.91  10     43.59     3.72   204.73263888889    131  54  10 S -0.353
 2021  7 23 17 35  30.000000        81.7092    0.0112          3.6403    0.0104         -1.0942    0.0366    20.19  10     43.72     3.72   204.73298611111    132  54  10 S -0.353
 2021  7 23 17 36   0.000000        81.7112    0.0112          3.6364    0.0104         -1.0900    0.0365    19.28  10     43.87     3.71   204.73333333334    133  54  10 S -0.352
 2021  7 23 17 36  30.000000        81.7127    0.0113          3.6400    0.0104         -1.0886    0.0364    17.80  10     44.04     3.71   204.73368055555    134  54  10 S -0.352
 2021  7 23 17 37   0.000001        81.7124    0.0113          3.6424    0.0104         -1.0959    0.0363    17.47  10     44.21     3.71   204.73402777778    135  54  10 S -0.352
 2021  7 23 17 37  30.000000        81.7125    0.0113          3.6408    0.0104         -1.0997    0.0361    19.54  10     44.39     3.71   204.73437500000    136  54  10 S -0.352
 2021  7 23 17 38   0.000001        81.7171    0.0113          3.6433    0.0104         -1.0806    0.0360    18.85  10     44.58     3.71   204.73472222223    137  54  10 S -0.351
 2021  7 23 17 38  29.999999        81.7139    0.0113          3.6412    0.0104         -1.0960    0.0359    18.44  10     44.77     3.70   204.73506944443    138  54  10 S -0.351
 2021  7 23 17 39   0.000000        81.7131    0.0113          3.6390    0.0105         -1.0927    0.0358    17.28  10     44.98     3.70   204.73541666667    139  54  10 S -0.351
 2021  7 23 17 39  29.999999        81.7129    0.0113          3.6403    0.0105         -1.0885    0.0356    17.65  10     45.19     3.70   204.73576388888    140  54  10 S -0.351
 2021  7 23 17 40   0.000000        81.7178    0.0114          3.6448    0.0105         -1.1017    0.0355    21.37  10     45.40     3.70   204.73611111111    141  54  10 S -0.351
 2021  7 23 17 40  29.999999        81.7158    0.0114          3.6460    0.0105         -1.0957    0.0354    18.02  10     45.63     3.70   204.73645833333    142  54  10 S -0.351
