* YY  MM DD HR MIN     Sec          dNorth      +-            dEast        +-          dHeight      +-        RMS    #      Atm     +-         Fract DOY     Epoch  #BF NotF  Rho_UA
*                                    (m)        (m)            (m)        (m)         (m)           (m)      (mm)   DD      (mm)    (mm)
 2021  7 23 16 48  29.999999      -315.2296    0.0114        289.5999    0.0125          7.2941    0.0535    19.23   7     30.72     5.53   204.70034722221     38  44   8 S -0.353
 2021  7 23 16 49   0.000000      -315.2270    0.0114        289.5981    0.0124          7.2944    0.0537    18.82   7     30.43     5.51   204.70069444445     39  44   8 S -0.349
 2021  7 23 16 49  29.999999      -315.2266    0.0114        289.5991    0.0124          7.2800    0.0540    20.20   7     30.14     5.48   204.70104166666     40  44   8 S -0.346
 2021  7 23 16 50   0.000000      -315.2253    0.0114        289.5998    0.0124          7.3080    0.0542    19.18   7     29.84     5.45   204.70138888889     41  44   8 S -0.343
 2021  7 23 16 50  30.000000      -315.2261    0.0119        289.6053    0.0126          7.3075    0.0600    17.31   6     29.55     5.43   204.70173611111     42  43   8 S -0.303
 2021  7 23 16 51   0.000000      -315.2248    0.0114        289.6061    0.0124          7.3299    0.0547    19.28   7     29.25     5.40   204.70208333334     43  44   8 S -0.335
 2021  7 23 16 51  30.000000      -315.2223    0.0114        289.6055    0.0124          7.3364    0.0549    19.05   7     28.95     5.36   204.70243055555     44  44   8 S -0.332
 2021  7 23 16 52   0.000001      -315.2274    0.0114        289.6027    0.0124          7.3298    0.0551    17.45   7     28.65     5.33   204.70277777778     45  44   8 S -0.328
 2021  7 23 16 52  30.000000      -315.2275    0.0113        289.6055    0.0124          7.3286    0.0553    17.82   7     28.35     5.30   204.70312500000     46  44   8 S -0.325
 2021  7 23 16 53   0.000001      -315.2244    0.0113        289.6044    0.0123          7.3280    0.0555    16.46   7     28.04     5.26   204.70347222223     47  44   8 S -0.321
 2021  7 23 16 53  29.999999      -315.2233    0.0113        289.6021    0.0123          7.3223    0.0557    17.02   7     27.74     5.22   204.70381944443     48  44   8 S -0.317
 2021  7 23 16 54   0.000000      -315.2241    0.0113        289.6062    0.0123          7.3078    0.0556    17.91   7     27.44     5.19   204.70416666667     49  47  10 S -0.316
 2021  7 23 16 54  29.999999      -315.2272    0.0113        289.5999    0.0122          7.2952    0.0557    18.04   7     27.15     5.14   204.70451388888     50  48  10 S -0.313
 2021  7 23 16 55   0.000000      -315.2272    0.0113        289.6018    0.0122          7.3076    0.0559    17.96   7     26.85     5.10   204.70486111111     51  48  10 S -0.309
 2021  7 23 16 55  29.999999      -315.2240    0.0113        289.6037    0.0122          7.3076    0.0560    18.07   7     26.56     5.06   204.70520833333     52  48  10 S -0.305
 2021  7 23 16 56   0.000000      -315.2258    0.0113        289.6028    0.0122          7.3087    0.0561    16.62   7     26.27     5.01   204.70555555556     53  48  10 S -0.301
 2021  7 23 16 56  30.000000      -315.2245    0.0113        289.6027    0.0122          7.3019    0.0563    25.50   7     25.98     4.96   204.70590277777     54  48  10 S -0.297
 2021  7 23 16 57   0.000000      -315.2278    0.0113        289.6047    0.0121          7.3063    0.0564    25.41   7     25.70     4.92   204.70625000000     55  48  10 S -0.293
 2021  7 23 16 57  30.000000      -315.2289    0.0113        289.6034    0.0121          7.3028    0.0565    26.16   7     25.41     4.86   204.70659722222     56  48  10 S -0.289
 2021  7 23 16 58   0.000000      -315.2298    0.0113        289.6053    0.0121          7.2993    0.0566    27.01   7     25.14     4.81   204.70694444445     57  48  10 S -0.285
 2021  7 23 16 58  30.000000      -315.2292    0.0113        289.6068    0.0121          7.2901    0.0566    25.02   7     24.86     4.76   204.70729166667     58  48  10 S -0.281
 2021  7 23 16 59   0.000001      -315.2253    0.0113        289.6071    0.0121          7.3230    0.0567    27.80   7     24.60     4.70   204.70763888890     59  48  10 S -0.276
 2021  7 23 16 59  29.999999      -315.2271    0.0113        289.6086    0.0121          7.3234    0.0568    24.89   7     24.34     4.64   204.70798611110     60  48  10 S -0.272
 2021  7 23 17  0   0.000000      -315.2269    0.0113        289.6024    0.0121          7.3035    0.0570    23.33   7     24.08     4.58   204.70833333334     61  47  10 S -0.266
