* YY  MM DD HR MIN     Sec          dNorth      +-            dEast        +-          dHeight      +-        RMS    #      Atm     +-         Fract DOY     Epoch  #BF NotF  Rho_UA
*                                    (m)        (m)            (m)        (m)         (m)           (m)      (mm)   DD      (mm)    (mm)
 2021  7 23 16 51  30.000354        48.4505    0.0112         61.3919    0.0117          0.3157    0.0386    17.38   8     35.64     4.02   204.70243055965     44  44   8 S -0.276
 2021  7 23 16 52   0.000354        48.4524    0.0112         61.3912    0.0117          0.3191    0.0387    16.19   8     35.31     3.97   204.70277778188     45  44   8 S -0.271
 2021  7 23 16 52  30.000354        48.4535    0.0112         61.3912    0.0116          0.3073    0.0389    18.20   8     34.96     3.92   204.70312500410     46  44   8 S -0.266
 2021  7 23 16 53   0.000353        48.4538    0.0112         61.3871    0.0116          0.3004    0.0391    19.33   8     34.60     3.87   204.70347222631     47  44   8 S -0.261
 2021  7 23 16 53  30.000353        48.4544    0.0112         61.3861    0.0116          0.3007    0.0392    21.00   8     34.23     3.81   204.70381944853     48  44   8 S -0.256
 2021  7 23 16 54   0.000354        48.4545    0.0111         61.3897    0.0111          0.3132    0.0370    19.68   9     33.86     3.75   204.70416667076     49  47  10 S -0.342
 2021  7 23 16 54  30.000353        48.4511    0.0111         61.3867    0.0111          0.3110    0.0371    19.79   9     33.46     3.70   204.70451389298     50  48  10 S -0.337
 2021  7 23 16 55   0.000354        48.4505    0.0111         61.3837    0.0110          0.3068    0.0371    23.17   9     33.05     3.65   204.70486111521     51  48  10 S -0.331
 2021  7 23 16 55  30.000353        48.4535    0.0111         61.3866    0.0110          0.3080    0.0372    22.98   9     32.63     3.60   204.70520833742     52  48  10 S -0.326
 2021  7 23 16 56   0.000354        48.4521    0.0111         61.3865    0.0110          0.3163    0.0373    18.81   9     32.20     3.56   204.70555555965     53  48  10 S -0.322
 2021  7 23 16 56  30.000353        48.4528    0.0111         61.3865    0.0110          0.3162    0.0374    20.10   9     31.78     3.53   204.70590278187     54  48  10 S -0.318
 2021  7 23 16 57   0.000354        48.4518    0.0111         61.3854    0.0110          0.3171    0.0375    19.40   9     31.36     3.49   204.70625000410     55  48  10 S -0.314
 2021  7 23 16 57  30.000354        48.4503    0.0111         61.3873    0.0110          0.3247    0.0376    19.84   9     30.94     3.46   204.70659722632     56  48  10 S -0.310
 2021  7 23 16 58   0.000354        48.4507    0.0111         61.3880    0.0110          0.3210    0.0377    17.85   9     30.51     3.43   204.70694444855     57  48  10 S -0.307
 2021  7 23 16 58  30.000354        48.4521    0.0111         61.3874    0.0109          0.3214    0.0378    18.30   9     30.09     3.40   204.70729167076     58  48  10 S -0.303
 2021  7 23 16 59   0.000353        48.4540    0.0111         61.3857    0.0109          0.3249    0.0379    18.48   9     29.65     3.37   204.70763889298     59  48  10 S -0.300
